wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,servoHub_A,hub_total_A
1780256533535,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.006,0.455,0.000,0.105,0.560
1780256533660,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.009,0.463,0.000,0.390,0.853
1780256533717,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.496,0.000,0.187,0.683
1780256533767,0.000,0.000,0.003,0.003,0.000,0.000,0.000,0.003,0.009,0.488,0.000,0.390,0.878
1780256533827,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.488,0.000,0.407,0.895
1780256533875,0.000,0.000,0.000,0.003,0.000,0.003,0.010,0.000,0.016,0.472,0.000,0.268,0.740
1780256533918,0.003,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.013,0.472,0.000,0.138,0.610
1780256533985,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.130,0.585
1780256534082,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256534221,0.010,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.016,0.463,0.000,0.130,0.593
1780256534295,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.138,0.601
1780256534374,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.130,0.602
1780256534669,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.496,0.000,0.146,0.642
1780256534814,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.009,0.463,0.000,0.138,0.601
1780256534857,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.130,0.610
1780256534905,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.012,0.463,0.000,0.138,0.601
1780256534956,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.480,0.000,0.138,0.618
1780256534995,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.455,0.000,0.138,0.593
1780256535036,0.003,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.472,0.000,0.130,0.602
1780256535072,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.130,0.602
1780256535116,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.480,0.000,0.138,0.618
1780256535155,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.003,0.013,0.463,0.000,0.138,0.601
1780256535195,0.007,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.017,0.463,0.000,0.146,0.609
1780256535327,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.000,0.138,0.601
1780256535360,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.130,0.610
1780256535400,0.000,0.003,0.000,0.007,0.000,0.000,0.003,0.003,0.016,0.463,0.000,0.138,0.601
1780256535437,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.463,0.000,0.130,0.593
1780256535477,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.472,0.000,0.138,0.610
1780256535509,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.006,0.455,0.000,0.130,0.585
1780256535549,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.463,0.000,0.138,0.601
1780256535588,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.130,0.593
1780256535628,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.480,0.000,0.130,0.610
1780256535660,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.130,0.593
1780256535700,0.003,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.012,0.472,0.000,0.138,0.610
1780256535750,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.000,0.006,0.472,0.000,0.138,0.610
1780256535860,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.138,0.601
1780256535897,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.455,0.000,0.146,0.601
1780256535940,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.463,0.000,0.138,0.601
1780256535972,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.447,0.000,0.138,0.585
1780256536013,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.000,0.130,0.593
1780256536049,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.130,0.585
1780256536093,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.138,0.601
1780256536137,0.000,0.003,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.472,0.000,0.13
