wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,servoHub_A,hub_total_A
1780256732883,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.154,0.617
1780256733011,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.472,0.000,0.276,0.748
1780256733076,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.496,0.000,0.341,0.837
1780256733131,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.488,0.000,0.423,0.911
1780256733182,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.480,0.000,0.309,0.789
1780256733232,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.488,0.000,0.138,0.626
1780256733287,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.488,0.000,0.113,0.601
1780256733397,0.003,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.013,0.472,0.000,0.122,0.594
1780256733532,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.130,0.602
1780256733593,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.122,0.594
1780256733649,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.130,0.602
1780256733703,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.006,0.480,0.000,0.122,0.602
1780256733755,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.488,0.000,0.122,0.610
1780256733809,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.512,0.000,0.122,0.634
1780256733887,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.488,0.000,0.122,0.610
1780256733949,0.007,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.016,0.488,0.000,0.122,0.610
1780256734055,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.122,0.594
1780256734114,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.010,0.480,0.000,0.122,0.602
1780256734168,0.000,0.000,0.000,0.003,0.003,0.003,0.003,0.000,0.012,0.480,0.000,0.130,0.610
1780256734222,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.003,0.009,0.480,0.000,0.122,0.602
1780256734283,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.122,0.602
1780256734330,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.480,0.000,0.130,0.610
1780256734413,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.010,0.480,0.000,0.130,0.610
1780256734475,3.965,3.542,3.382,3.269,0.000,0.000,0.000,0.000,14.158,11.664,0.000,0.073,11.737
1780256734590,4.465,4.486,5.325,4.917,0.000,0.000,0.003,0.000,19.196,17.867,0.000,0.154,18.021
1780256734650,1.756,2.139,3.032,2.926,0.000,0.000,0.003,0.000,9.856,9.100,0.000,0.138,9.238
1780256734721,0.404,0.437,0.699,0.400,0.000,0.000,0.003,0.000,1.943,2.230,0.000,0.130,2.360
1780256734786,0.025,0.014,0.018,0.010,0.003,0.003,0.003,0.003,0.079,0.659,0.000,0.122,0.781
1780256734847,0.007,0.007,0.000,0.007,0.000,0.000,0.003,0.003,0.027,0.496,0.000,0.122,0.618
1780256735177,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.010,0.472,0.000,0.122,0.594
1780256735291,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.122,0.594
1780256735337,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.472,0.000,0.122,0.594
1780256735377,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.472,0.000,0.130,0.602
1780256735459,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.130,0.602
1780256735494,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.480,0.000,0.122,0.602
1780256735534,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256735572,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.122,0.585
1780256735612,0.000,0.000,0.003,0.003,0.003,0.000,0.003,0.000,0.012,0.480,0.000,0.122,0.602
1780256735644,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.463,0.000,0.122,0.585
1780256735684,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.122,0.585
1780256735731,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.122,0.585
1780256735801,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.463,0.000,0.122,0.585
1780256735850,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.122,0.585
1780256735885,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.010,0.472,0.000,0.122,0.594
1780256735946,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.122,0.577
1780256735990,0.000,0.003,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.488,0.000,0.130,0.618
1780256736033,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.455,0.000,0.130,0.585
1780256736066,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.006,0.480,0.000,0.122,0.602
1780256736105,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.463,0.000,0.130,0.593
1780256736140,0.007,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.013,0.455,0.000,0.130,0.585
1780256736191,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.130,0.602
1780256736251,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.130,0.602
1780256736337,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.122,0.577
1780256736389,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.122,0.594
1780256736429,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.122,0.602
1780256736473,0.003,0.000,0.003,0.000,0.000,0.000,0.003,0.003,0.012,0.472,0.000,0.130,0.602
1780256736517,0.003,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.013,0.480,0.000,0.122,0.602
1780256736559,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.130,0.602
1780256736597,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.488,0.000,0.122,0.610
1780256736642,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.122,0.594
1780256736677,0.007,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.013,0.463,0.000,0.122,0.585
1780256736725,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.122,0.594
1780256736794,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.480,0.000,0.122,0.602
1780256736861,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.480,0.000,0.122,0.602
1780256736914,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.012,0.472,0.000,0.122,0.594
1780256736963,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.122,0.594
1780256736996,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.122,0.585
1780256737041,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.122,0.602
1780256737074,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.480,0.000,0.130,0.610
1780256737111,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.130,0.593
1780256737144,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.130,0.593
1780256737186,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.463,0.000,0.130,0.593
1780256737224,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.122,0.585
1780256737268,0.007,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.016,0.472,0.000,0.122,0.594
1780256737310,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.472,0.000,0.122,0.594
1780256737393,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.455,0.000,0.122,0.577
1780256737450,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256737518,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.480,0.000,0.122,0.602
1780256737554,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.122,0.594
1780256737594,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.455,0.000,0.122,0.577
1780256737629,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.455,0.000,0.122,0.577
1780256737678,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.455,0.000,0.122,0.577
1780256737716,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.000,0.122,0.585
1780256737766,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.122,0.585
1780256737817,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.455,0.000,0.130,0.585
1780256737911,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.130,0.602
1780256737971,0.007,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.010,0.472,0.000,0.122,0.594
1780256738033,0.003,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.012,0.472,0.000,0.122,0.594
1780256738069,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.122,0.585
1780256738115,0.000,0.003,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.463,0.000,0.122,0.585
1780256738145,0.003,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.015,0.455,0.000,0.122,0.577
1780256738182,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.122,0.585
1780256738213,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.003,0.012,0.455,0.000,0.122,0.577
1780256738256,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.130,0.593
1780256738288,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.480,0.000,0.130,0.610
1780256738326,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.472,0.000,0.122,0.594
1780256738368,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.009,0.463,0.000,0.122,0.585
1780256738447,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.455,0.000,0.122,0.577
1780256738504,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.122,0.585
1780256738573,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.122,0.594
1780256738610,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.003,0.009,0.455,0.000,0.122,0.577
1780256738647,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256738678,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.000,0.130,0.593
1780256738719,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256738750,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.463,0.000,0.122,0.585
1780256738794,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.130,0.610
1780256738827,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.130,0.602
1780256738865,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.130,0.602
1780256738935,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.480,0.000,0.130,0.610
1780256738965,0.000,0.000,0.000,0.003,0.003,0.003,0.003,0.000,0.012,0.472,0.000,0.130,0.602
1780256739018,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.130,0.610
1780256739069,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.488,0.000,0.130,0.618
1780256739102,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.009,0.480,0.000,0.122,0.602
1780256739154,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.006,0.463,0.000,0.130,0.593
1780256739185,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.122,0.585
1780256739223,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.447,0.000,0.122,0.569
1780256739255,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.463,0.000,0.122,0.585
1780256739301,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.122,0.602
1780256739331,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.122,0.602
1780256739369,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.480,0.000,0.122,0.602
1780256739449,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.463,0.000,0.122,0.585
1780256739482,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.122,0.594
1780256739538,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.472,0.000,0.122,0.594
1780256739604,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.463,0.000,0.122,0.585
1780256739637,0.003,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.013,0.455,0.000,0.130,0.585
1780256739687,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.122,0.577
1780256739725,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.006,0.463,0.000,0.113,0.576
1780256739768,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.455,0.000,0.122,0.577
1780256739804,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.122,0.594
1780256739842,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.122,0.585
1780256739879,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.130,0.593
1780256739962,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.455,0.000,0.130,0.585
1780256739994,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.000,0.006,0.455,0.000,0.130,0.585
1780256740059,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.130,0.602
1780256740113,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.000,0.012,0.455,0.000,0.122,0.577
1780256740147,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.122,0.585
1780256740201,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.472,0.000,0.130,0.602
1780256740235,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.463,0.000,0.122,0.585
1780256740271,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.122,0.577
1780256740302,0.003,0.000,0.000,0.003,0.003,0.003,0.003,0.003,0.018,0.480,0.000,0.122,0.602
1780256740346,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.472,0.000,0.122,0.594
1780256740377,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.003,0.013,0.463,0.000,0.122,0.585
1780256740416,0.000,0.000,0.007,0.003,0.000,0.000,0.003,0.003,0.016,0.463,0.000,0.122,0.585
1780256740490,0.003,0.000,0.000,0.003,0.000,0.000,0.007,0.003,0.016,0.463,0.000,0.122,0.585
1780256740518,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.463,0.000,0.122,0.585
1780256740569,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.130,0.602
1780256740629,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.463,0.000,0.130,0.593
1780256740658,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.122,0.585
1780256740706,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.122,0.585
1780256740743,0.000,0.000,0.000,0.007,0.000,0.003,0.003,0.000,0.013,0.463,0.000,0.122,0.585
1780256740783,0.000,0.003,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.455,0.000,0.122,0.577
1780256740818,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.480,0.000,0.122,0.602
1780256740856,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.455,0.000,0.122,0.577
1780256740888,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.006,0.463,0.000,0.122,0.585
1780256740929,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.130,0.602
1780256741021,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.000,0.122,0.585
1780256741091,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.488,0.000,0.130,0.618
1780256741141,0.000,0.000,0.000,0.003,0.003,0.003,0.003,0.000,0.012,0.480,0.000,0.130,0.610
1780256741171,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.463,0.000,0.130,0.593
1780256741228,0.007,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.013,0.463,0.000,0.130,0.593
1780256741261,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.447,0.000,0.122,0.569
1780256741302,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
1780256741356,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.130,0.593
1780256741387,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.122,0.577
1780256741427,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.012,0.455,0.000,0.122,0.577
1780256741466,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.463,0.000,0.122,0.585
1780256741555,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.455,0.000,0.122,0.577
1780256741607,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.000,0.130,0.585
1780256741657,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.122,0.585
1780256741698,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.472,0.000,0.130,0.602
1780256741742,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.463,0.000,0.130,0.593
