wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,hub_total_A
1780256951469,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.488,0.105,0.593
1780256951582,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.488,0.358,0.846
1780256951651,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.170,0.642
1780256951705,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.480,0.439,0.919
1780256951758,0.000,0.000,0.000,0.003,0.000,0.000,0.007,0.003,0.013,0.472,0.382,0.854
1780256951819,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.488,0.179,0.667
1780256951877,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.003,0.013,0.472,0.122,0.594
1780256951957,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.488,0.130,0.618
1780256952021,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.130,0.593
1780256952129,0.000,0.003,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.463,0.122,0.585
1780256952193,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.000,0.006,0.480,0.122,0.602
1780256952244,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.472,0.122,0.594
1780256952298,0.003,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.472,0.122,0.594
1780256952360,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.122,0.594
1780256952410,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.122,0.594
1780256952497,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.009,0.504,0.130,0.634
1780256952552,0.003,0.000,0.003,0.000,0.000,0.000,0.003,0.000,0.009,0.488,0.122,0.610
1780256952648,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.488,0.122,0.610
1780256952691,0.000,0.003,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.512,0.122,0.634
1780256952740,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.488,0.122,0.610
1780256952789,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.480,0.122,0.602
1780256952831,0.000,0.007,0.000,0.003,0.000,0.000,0.003,0.000,0.013,0.480,0.130,0.610
1780256952893,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.472,0.122,0.594
1780256952950,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.122,0.602
1780256953027,0.000,0.003,0.000,0.000,0.000,0.003,0.003,0.000,0.009,0.480,0.122,0.602
1780256953099,1.796,1.760,1.873,1.483,0.000,0.003,0.003,0.000,6.918,3.272,0.097,3.369
1780256953211,3.983,6.910,6.881,7.982,0.000,0.000,0.003,0.000,25.759,23.142,0.138,23.280
1780256953281,0.535,2.296,1.957,1.541,0.000,0.000,0.003,0.000,6.332,6.096,0.138,6.234
1780256953334,0.021,0.105,0.091,0.112,0.000,0.000,0.000,0.000,0.329,1.741,0.130,1.871
1780256953632,0.003,0.010,0.010,0.007,0.000,0.007,0.003,0.000,0.040,0.708,0.130,0.838
1780256953774,0.000,0.003,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.463,0.122,0.585
1780256953832,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.455,0.122,0.577
1780256953869,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.472,0.122,0.594
