wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,servoHub_A,hub_total_A,floodgate_A
1780270112247,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.480,0.000,0.113,0.593,0.606
1780270112360,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.472,0.000,0.447,0.919,1.164
1780270112416,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.480,0.000,0.284,0.764,1.115
1780270112474,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.496,0.000,0.227,0.723,0.752
1780270112534,0.003,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.009,0.472,0.000,0.455,0.927,1.285
1780270112587,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.496,0.000,0.317,0.813,1.164
1780270112638,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.488,0.000,0.146,0.634,0.824
1780270112712,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.480,0.000,0.219,0.699,0.776
1780270112788,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.488,0.000,0.293,0.781,0.824
1780270112911,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.000,0.244,0.707,0.873
1780270112971,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.488,0.000,0.138,0.626,0.703
1780270113025,0.003,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.012,0.472,0.000,0.138,0.610,0.630
1780270113076,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.000,0.138,0.601,0.679
1780270113141,0.003,0.000,0.003,0.003,0.000,0.000,0.000,0.000,0.009,0.455,0.000,0.138,0.593,0.679
1780270113210,0.000,0.000,0.000,0.003,0.003,0.000,0.007,0.003,0.016,0.488,0.000,0.138,0.626,0.679
1780270113263,0.003,0.000,0.003,0.000,0.000,0.000,0.003,0.000,0.009,0.488,0.000,0.138,0.626,0.679
1780270113339,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.504,0.000,0.138,0.642,0.703
1780270113454,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.480,0.000,0.138,0.618,0.679
1780270113510,0.000,0.000,0.007,0.003,0.000,0.000,0.003,0.003,0.016,0.488,0.000,0.138,0.626,0.679
1780270113561,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.009,0.472,0.000,0.138,0.610,0.703
1780270113616,0.003,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.012,0.488,0.000,0.138,0.626,0.679
1780270113673,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.000,0.012,0.488,0.000,0.130,0.618,0.679
1780270113734,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.003,0.012,0.504,0.000,0.130,0.634,0.679
1780270113784,0.000,0.000,0.000,0.003,0.000,0.007,0.003,0.000,0.013,0.480,0.000,0.130,0.610,0.679
1780270113858,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.480,0.000,0.130,0.610,0.679
1780270113977,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.496,0.000,0.130,0.626,0.727
1780270114047,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.012,0.472,0.000,0.130,0.602,0.679
1780270114102,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.472,0.000,0.138,0.610,0.679
1780270114151,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.480,0.000,0.138,0.618,0.679
1780270114454,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.496,0.000,0.138,0.634,0.679
1780270114590,0.000,0.000,0.000,0.003,0.000,0.003,0.000,0.003,0.009,0.480,0.000,0.138,0.618,0.679
1780270114640,1.479,1.447,1.352,1.406,0.003,0.000,0.003,0.003,5.693,2.507,0.000,0.130,2.637,1.818
1780270114695,5.387,4.745,5.128,4.880,0.000,0.000,0.003,0.000,20.143,18.722,0.000,0.130,18.852,10.764
1780270114759,3.991,4.818,5.361,5.062,0.000,0.000,0.000,0.003,19.235,18.787,0.000,0.170,18.957,17.624
1780270114796,3.648,4.148,4.581,4.687,0.000,0.003,0.003,0.000,17.070,16.630,0.000,0.170,16.800,14.885
1780270114841,2.784,3.207,4.031,4.035,0.000,0.000,0.000,0.003,14.060,14.326,0.000,0.162,14.488,13.042
