wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,hub_total_A,floodgate_A
1780270991131,0.007,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.016,0.000,0.512,0.512,0.679
1780270991209,0.003,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.000,0.512,0.512,0.630
1780270991237,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.000,0.006,0.000,0.512,0.512,0.679
1780270991271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.504,0.504,0.630
1780270991302,0.000,0.000,0.003,0.007,0.000,0.003,0.003,0.003,0.019,0.000,0.496,0.496,0.679
1780270991346,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.006,0.000,0.512,0.512,0.679
1780270991374,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.000,0.512,0.512,0.630
1780270991410,0.003,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.009,0.000,0.504,0.504,0.630
1780270991442,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.000,0.520,0.520,0.630
1780270991503,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.000,0.520,0.520,0.630
1780270991540,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.000,0.520,0.520,0.679
1780270991577,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.000,0.496,0.496,0.630
1780270991630,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.000,0.012,0.000,0.496,0.496,0.630
1780270991670,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.000,0.488,0.488,0.630
1780270991760,0.003,0.003,0.000,0.003,0.003,0.000,0.014,0.000,0.026,0.000,0.496,0.496,1.091
1780270991790,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.000,0.504,0.504,1.018
1780270991825,0.003,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.013,0.000,0.504,0.504,0.897
1780270991856,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.000,0.504,0.504,0.848
1780270991898,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.000,0.496,0.496,0.630
1780270991961,0.000,0.000,0.000,0.003,0.003,0.014,6.335,6.794,13.149,0.000,0.586,0.586,7.709
1780270992016,0.000,0.000,0.000,0.000,0.003,0.018,7.472,8.503,15.996,0.000,0.610,0.610,15.879
1780270992058,0.000,0.000,0.000,0.003,0.007,0.014,7.676,8.467,16.167,0.000,0.594,0.594,15.370
1780270992092,0.000,0.000,0.000,0.003,0.003,0.014,7.348,8.201,15.569,0.000,0.594,0.594,15.297
1780270992131,0.000,0.000,0.000,0.003,0.003,0.014,7.268,8.088,15.376,0.000,0.594,0.594,15.055
1780270992175,0.000,0.000,0.003,0.003,0.003,0.018,7.042,7.993,15.062,0.000,0.618,0.618,14.836
1780270992247,0.000,0.000,0.000,0.000,0.003,0.014,6.783,7.727,14.527,0.000,0.651,0.651,14.279
1780270992300,0.003,0.000,0.003,0.003,0.003,0.014,6.579,7.497,14.102,0.000,0.643,0.643,14.036
1780270992340,0.973,0.707,0.871,1.173,0.003,0.014,6.400,7.191,17.332,0.000,2.091,2.091,14.521
1780270992386,0.940,1.067,0.889,1.275,0.003,0.014,6.291,7.155,17.634,0.000,1.562,1.562,14.909
1780270992423,0.196,0.266,0.207,0.324,0.003,0.014,6.320,7.118,14.448,0.000,0.830,0.830,13.430
1780270992473,0.021,0.014,0.010,0.018,0.003,0.014,6.160,6.954,13.194,0.000,0.659,0.659,13.018
1780270992528,0.000,0.000,0.000,0.000,0.003,0.014,6.130,6.783,12.930,0.000,0.586,0.586,12.485
1780270992562,0.000,0.000,0.000,0.003,0.003,0.014,6.054,6.663,12.737,0.000,0.594,0.594,12.291
1780270992601,1.075,1.283,1.210,1.272,0.003,0.010,5.770,6.327,16.950,0.000,2.319,2.319,12.679
1780270992640,2.248,2.336,1.716,2.558,0.003,0.010,5.474,6.127,20.472,0.000,4.151,4.151,14.570
1780270992692,3.849,3.827,4.705,4.501,0.003,0.010,4.505,5.008,26.408,0.000,12.942,12.942,17.891
1780270992765,3.645,4.049,4.454,4.264,0.000,0.010,4.188,4.731,25.341,0.000,15.571,15.571,22.667
1780270992829,2.482,2.999,3.965,3.517,0.003,0.007,4.341,4.898,22.212,0.000,12.812,12.812,20.121
1780270992876,2.398,2.781,3.426,3.254,0.000,0.003,2.063,2.438,16.363,0.000,12.266,12.266,17.358
1780270992915,1.997,2.679,3.306,3.302,0.000,0.000,0.958,1.151,13.393,0.000,11.599,11.599,11.806
1780270992953,1.760,2.336,3.185,3.039,0.000,0.000,0.703,0.798,11.821,0.000,10.614,10.614,10.133
1780270992996,1.756,2.128,2.824,2.708,0.000,0.003,0.320,0.422,10.161,0.000,9.735,9.735,9.164
1780270993052,1.439,1.848,2.485,2.595,0.000,0.000,0.503,0.656,9.526,0.000,8.774,8.774,8.000
1780270993093,1.217,1.410,2.562,2.420,0.000,0.003,0.605,0.769,8.986,0.000,8.074,8.074,7.782
1780270993133,1.122,1.315,2.372,2.157,0.000,0.003,2.125,2.383,11.477,0.000,7.407,7.407,7.588
1780270993188,1.009,1.206,1.957,2.099,0.000,0.007,2.726,3.098,12.102,0.000,6.821,6.821,9.721
1780270993252,1.031,1.071,2.004,1.873,0.000,0.003,2.759,3.131,11.872,0.000,6.406,6.406,9.552
1780270993330,0.174,0.200,0.247,0.255,0.000,0.003,0.914,1.312,3.105,0.000,1.741,1.741,5.309
1780270993388,0.021,0.021,0.032,0.029,0.000,0.000,0.174,0.215,0.492,0.000,0.667,0.667,0.848
1780270993430,0.003,0.007,0.003,0.007,0.000,0.000,0.131,0.149,0.300,0.000,0.537,0.537,0.752
1780270993474,0.003,0.003,0.003,0.003,0.000,0.000,0.145,0.164,0.321,0.000,0.529,0.529,0.945
1780270993528,0.000,0.003,0.003,0.007,0.000,0.000,0.207,0.236,0.456,0.000,0.504,0.504,0.945
1780270993586,0.003,0.000,0.000,0.000,0.000,0.003,0.284,0.335,0.625,0.000,0.520,0.520,0.994
1780270993624,0.003,0.000,0.003,0.003,0.000,0.003,1.436,2.030,3.478,0.000,0.504,0.504,1.042
1780270993667,0.000,0.000,0.000,0.003,0.000,0.003,1.902,2.176,4.084,0.000,0.512,0.512,3.515
1780270993710,0.000,0.003,0.003,0.003,0.003,0.003,2.157,2.453,4.625,0.000,0.512,0.512,3.152
1780270993766,0.003,0.000,0.003,0.003,0.000,0.003,2.376,2.649,5.037,0.000,0.520,0.520,3.321
