wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,controlHub_A,expansionHub_A,hub_total_A,floodgate_A
1780271570936,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.105,0.000,0.105,0.703
1780271571063,0.000,0.003,0.000,0.003,0.003,0.000,0.000,0.000,0.009,0.407,0.000,0.407,1.309
1780271571119,0.000,0.003,0.000,0.007,0.000,0.000,0.000,0.000,0.010,0.187,0.000,0.187,0.970
1780271571173,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.463,0.000,0.463,1.309
1780271571232,0.003,0.000,0.003,0.003,0.000,0.000,0.000,0.003,0.012,0.407,0.000,0.407,1.309
1780271571293,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.003,0.006,0.179,0.000,0.179,0.994
1780271571356,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.227,0.000,0.227,0.727
1780271571438,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.341,0.000,0.341,0.970
1780271571499,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.382,0.000,0.382,0.970
1780271571607,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.211,0.000,0.211,0.824
1780271571663,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.179,0.000,0.179,0.727
1780271571711,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.179,0.000,0.179,0.752
1780271571758,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.179,0.000,0.179,0.824
1780271571814,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.003,0.013,0.179,0.000,0.179,0.776
1780271571863,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.179,0.000,0.179,0.824
1780271571948,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.179,0.000,0.179,0.752
1780271571999,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.179,0.000,0.179,0.776
1780271572049,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.170,0.000,0.170,0.776
1780271572164,0.000,0.000,0.003,0.003,0.000,0.000,0.007,0.000,0.013,0.187,0.000,0.187,0.776
1780271572255,0.000,0.000,0.003,0.003,0.003,0.014,7.107,7.909,15.039,13.398,0.000,13.398,14.352
1780271572337,0.000,0.000,0.000,0.003,0.007,0.014,7.833,8.857,16.714,15.832,0.000,15.832,19.733
1780271572400,0.003,0.000,0.000,0.003,0.003,0.018,7.854,8.802,16.683,15.856,0.000,15.856,18.570
1780271572497,0.000,0.000,0.000,0.003,0.007,0.014,7.665,8.536,16.225,15.555,0.000,15.555,17.309
1780271572573,0.000,0.000,0.000,0.003,0.003,0.014,7.475,8.215,15.710,15.067,0.000,15.067,16.388
1780271572705,0.003,0.000,0.000,0.003,0.007,0.014,6.845,7.938,14.810,14.326,0.000,14.326,14.812
1780271572785,0.000,0.000,0.000,0.003,0.003,0.014,6.586,7.567,14.173,13.724,0.000,13.724,14.642
1780271572865,3.182,2.875,2.351,2.671,0.000,0.010,5.729,6.404,23.222,11.762,0.000,11.762,18.448
1780271572937,4.224,4.107,5.401,4.778,0.003,0.007,4.767,5.194,28.481,9.995,0.000,9.995,21.333
1780271573031,0.287,0.364,0.368,0.415,0.003,0.010,5.853,6.531,13.831,11.811,0.000,11.811,13.212
1780271573345,3.973,4.326,4.596,4.082,0.000,0.007,4.501,4.898,26.383,9.605,0.000,9.605,17.842
1780271573486,1.359,1.057,2.001,2.176,0.007,0.021,9.918,10.909,27.448,18.070,0.000,18.070,25.091
1780271573564,0.087,0.083,0.145,0.185,0.007,0.021,10.730,11.911,23.169,21.277,0.000,21.277,22.036
1780271573628,0.007,0.003,0.010,0.010,0.003,0.014,6.502,7.304,13.853,14.253,0.000,14.253,14.521
1780271573678,0.003,0.003,0.000,0.003,0.003,0.014,6.109,6.870,13.005,12.836,0.000,12.836,13.042
1780271573718,0.007,0.000,0.000,0.003,0.003,0.010,5.963,6.728,12.714,12.421,0.000,12.421,12.824
1780271573774,0.000,0.000,0.000,0.003,0.003,0.010,5.970,6.550,12.536,12.161,0.000,12.161,12.606
1780271573820,0.000,0.000,0.003,0.003,0.003,0.010,5.719,6.462,12.200,11.843,0.000,11.843,12.339
1780271573875,0.000,0.000,0.000,0.003,0.003,0.003,4.479,4.818,9.306,8.270,0.000,8.270,10.667
1780271573941,0.003,0.000,0.000,0.003,0.000,0.003,2.879,3.287,6.175,5.014,0.000,5.014,4.994
1780271574025,0.000,0.003,0.003,0.003,0.000,0.003,0.710,0.721,1.443,1.538,0.000,1.538,2.545
1780271574116,0.000,0.000,0.000,0.003,0.000,0.000,0.153,0.167,0.323,0.415,0.000,0.415,0.945
1780271574165,0.000,0.000,0.000,0.003,0.000,0.000,0.189,0.222,0.414,0.390,0.000,0.390,0.945
1780271574207,0.000,0.000,0.003,0.003,0.000,0.000,1.392,1.534,2.932,1.408,0.000,1.408,1.382
1780271574253,0.000,0.000,0.003,0.003,0.000,0.003,1.906,2.074,3.989,2.214,0.000,2.214,2.788
1780271574293,0.000,0.000,0.000,0.003,0.000,0.003,1.953,2.172,4.131,2.328,0.000,2.328,3.006
1780271574341,0.000,0.000,0.000,0.007,0.000,0.003,2.081,2.321,4.412,2.539,0.000,2.539,2.982
1780271574403,1.115,1.279,0.761,1.006,0.000,0.003,2.026,2.252,8.442,2.523,0.000,2.523,4.242
1780271574477,5.467,5.110,5.427,5.686,0.000,0.000,0.353,0.415,22.458,0.781,0.000,0.781,19.103
1780271574557,3.411,3.553,4.078,4.384,0.000,0.003,1.800,1.851,19.080,2.124,0.000,2.124,15.758
1780271574629,2.730,2.427,2.886,3.127,0.000,0.010,3.065,3.462,17.707,4.647,0.000,4.647,14.788
1780271574670,2.161,1.924,2.726,3.039,0.000,0.003,3.152,3.590,16.595,5.038,0.000,5.038,13.939
1780271574724,1.840,1.939,2.536,2.941,0.000,0.000,1.089,1.392,11.737,2.051,0.000,2.051,11.152
1780271574779,0.462,0.554,0.590,0.885,0.000,0.003,0.754,0.936,4.184,1.180,0.000,1.180,3.782
1780271574834,0.058,0.061,0.061,0.094,0.000,0.000,0.379,0.503,1.156,0.626,0.000,0.626,1.430
1780271574887,0.007,0.007,0.007,0.007,0.000,0.003,1.450,1.713,3.194,1.595,0.000,1.595,1.527
