wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,floodgate_A
1780275339545,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.582
1780275339645,0.003,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.013,0.679
1780275339673,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.994
1780275339711,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.945
1780275339737,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.009,0.848
1780275339776,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.009,0.630
1780275339800,0.003,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.679
1780275339837,0.003,0.000,0.000,0.000,0.000,0.003,0.003,0.000,0.009,0.970
1780275339863,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.009,0.970
1780275339902,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.873
1780275339927,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.776
1780275339970,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.630
1780275340002,0.003,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.679
1780275340055,0.003,0.000,0.003,0.003,0.000,0.003,0.003,0.000,0.015,0.679
1780275340141,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.630
1780275340170,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.630
1780275340201,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.630
1780275340229,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780275340262,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.679
1780275340294,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.606
1780275340333,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.679
1780275340368,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.630
1780275340401,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.630
1780275340430,0.000,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.009,0.606
1780275340469,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.606
1780275340497,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.009,0.630
1780275340527,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.630
1780275340580,0.000,0.000,0.000,0.003,0.003,0.003,0.003,0.000,0.012,0.606
1780275340689,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.000,0.009,0.606
1780275340725,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.606
1780275340764,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780275340789,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780275340824,0.000,0.003,0.007,0.003,0.000,0.000,0.003,0.000,0.016,0.606
1780275340853,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780275340892,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.606
1780275340920,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.606
1780275340963,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780275340992,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.630
1780275341029,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.630
1780275341070,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.630
1780275341114,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.630
1780275341217,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.012,0.582
1780275341255,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.606
1780275341287,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.630
1780275341311,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.630
1780275341344,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.006,0.679
1780275341373,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.630
1780275341412,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780275341436,0.003,0.000,0.000,0.007,0.000,0.003,0.003,0.000,0.016,0.606
1780275341473,0.003,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.012,0.630
1780275341501,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780275341543,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.606
1780275341592,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.630
1780275341623,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.606
1780275341736,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.630
1780275341764,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.679
1780275341795,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.630
1780275341822,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.606
1780275341867,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.606
1780275341894,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.630
1780275341928,0.000,0.003,0.003,0.000,0.000,0.000,0.003,0.000,0.009,0.606
1780275341955,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.630
1780275342005,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.010,0.630
1780275342032,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.606
1780275342071,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.606
1780275342122,0.007,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.019,0.630
1780275342153,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.630
1780275342286,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.606
1780275342313,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.630
1780275342358,0.003,0.000,0.003,0.000,0.000,0.003,0.003,0.003,0.015,0.606
1780275342383,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.679
1780275342424,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,0.630
1780275342451,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.009,0.606
1780275342489,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.009,0.606
1780275342515,0.003,0.000,0.003,0.000,0.000,0.000,0.003,0.000,0.009,0.630
1780275342552,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.606
1780275342576,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.679
1780275342625,0.003,0.000,0.000,0.000,0.000,0.000,0.003,0.007,0.013,0.630
1780275342656,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.630
1780275342770,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.606
1780275342802,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.003,0.606
1780275342835,0.007,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.013,0.582
1780275342869,0.000,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.009,0.606
1780275342908,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.606
1780275342938,0.003,0.000,0.000,0.000,0.000,0.007,0.003,0.000,0.013,0.679
1780275342978,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.003,0.012,0.630
