wall_clock_ms,lf_A,rf_A,lb_A,rb_A,frontIntake_A,backIntake_A,lShooter_A,rShooter_A,motor_total_A,floodgate_A
1780276197355,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.679
1780276197451,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,3.442
1780276197480,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,3.224
1780276197514,0.003,0.000,0.003,0.003,0.000,0.000,0.000,0.000,0.009,2.618
1780276197546,0.000,0.003,0.000,0.007,0.000,0.000,0.000,0.003,0.013,2.158
1780276197589,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,1.479
1780276197620,0.000,0.000,0.000,0.003,0.000,0.003,0.010,0.000,0.016,0.776
1780276197658,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.012,1.285
1780276197694,0.003,0.000,0.003,0.003,0.000,0.000,0.010,0.000,0.019,1.891
1780276197741,0.003,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.013,1.358
1780276197771,0.003,0.000,0.000,0.003,0.003,0.000,0.003,0.000,0.012,0.776
1780276197819,0.000,0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.009,0.824
1780276197891,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.703
1780276198002,0.003,0.000,0.000,0.003,0.000,0.003,0.003,0.000,0.012,0.703
1780276198048,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.003,0.015,0.703
1780276198079,0.003,0.000,0.000,0.003,0.000,0.000,0.007,0.003,0.016,0.703
1780276198126,3.849,3.116,2.886,3.342,0.000,0.000,0.003,0.000,13.196,0.073
1780276198162,6.050,5.321,5.985,6.211,0.000,0.000,0.003,0.000,23.570,14.836
1780276198202,5.004,4.479,5.686,6.433,0.000,0.000,0.003,0.000,21.605,19.976
1780276198228,4.764,4.118,5.234,5.638,0.000,0.000,0.003,0.000,19.757,17.479
1780276198264,1.968,2.019,2.347,2.872,0.000,0.000,0.000,0.000,9.206,15.806
1780276198294,0.466,0.462,0.532,0.659,0.000,0.000,0.000,0.000,2.119,1.503
1780276198339,0.040,0.040,0.043,0.051,0.000,0.000,0.003,0.000,0.177,0.776
1780276198392,0.007,0.007,0.010,0.010,0.000,0.000,0.003,0.000,0.037,0.679
1780276198421,0.007,0.003,0.003,0.007,0.003,0.000,0.003,0.000,0.026,0.703
1780276198504,0.003,0.003,0.000,0.007,0.003,0.000,0.003,0.000,0.019,0.703
1780276198536,0.000,0.003,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.703
1780276198573,0.000,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.009,0.703
1780276198604,0.000,0.003,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.703
1780276198640,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.727
1780276198672,0.000,0.000,0.003,0.007,0.000,0.000,0.007,0.000,0.017,0.703
1780276198714,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.679
1780276198745,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.703
1780276198795,0.000,0.003,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.679
1780276198852,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.679
1780276198921,0.000,0.000,0.000,0.007,0.000,0.000,0.003,0.000,0.010,0.679
1780276199011,0.000,0.000,0.007,0.003,0.000,0.000,0.003,0.000,0.013,0.703
1780276199044,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.003,0.703
1780276199081,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.703
1780276199109,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.679
1780276199150,0.003,0.003,0.000,0.003,0.000,0.000,0.007,0.000,0.016,0.679
1780276199186,0.003,0.000,0.007,0.003,0.000,0.000,0.003,0.003,0.019,0.679
1780276199221,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.679
1780276199254,0.003,0.000,0.000,0.003,0.000,0.000,0.007,0.000,0.013,0.727
1780276199290,0.000,0.000,0.003,0.003,0.000,0.003,0.003,0.000,0.012,0.703
1780276199341,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.703
1780276199394,0.003,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.009,0.679
1780276199452,0.000,0.000,0.000,0.003,0.000,0.003,0.000,0.000,0.006,0.679
1780276199535,0.003,0.000,0.003,0.003,0.000,0.000,0.003,0.000,0.012,0.703
1780276199565,0.003,0.000,0.007,0.003,0.000,0.000,0.003,0.000,0.016,0.703
1780276199606,0.000,0.003,0.000,0.003,0.000,0.000,0.000,0.000,0.006,0.679
1780276199637,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.679
1780276199682,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.703
1780276199716,0.000,0.000,0.000,0.003,0.000,0.000,0.003,0.000,0.006,0.679
